-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2015 through 01/01/2020 
Location: Latitude  50.1215   Longitude 22.0097 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 230.89 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2M,RH2M,PS,WS50M,WS10M,WS50M_RANGE,WS10M_RANGE,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
50.12151,22.00971,2015,02,24,    8.75,    5.00,    5.02,   88.72,   97.92,    5.04,    3.02,    6.63,    3.36,-999,              2.06
50.12151,22.00971,2015,02,25,    3.97,    2.92,    3.21,   98.87,   98.54,    5.11,    3.01,    2.15,    1.20,-999,              1.19
50.12151,22.00971,2015,02,26,    4.77,    2.82,    3.13,   94.89,   98.97,    5.04,    3.32,    3.25,    3.22,-999,              1.36
50.12151,22.00971,2015,02,27,    6.65,    3.17,    3.47,   91.31,   98.75,    1.90,    1.34,    2.56,    1.40,-999,              1.71
50.12151,22.00971,2015,02,28,    9.01,    3.17,    3.70,   85.06,   98.93,    1.27,    0.91,    2.36,    1.53,-999,              2.98
50.12151,22.00971,2015,03,01,    8.74,    3.73,    4.16,   87.08,   98.51,    5.35,    3.68,    8.35,    5.25,-999,              1.41
50.12151,22.00971,2015,03,02,    8.74,    3.58,    3.72,   89.20,   97.69,    8.81,    6.39,    5.19,    5.14,              3.01,              1.68
50.12151,22.00971,2015,03,03,    7.09,    0.18,    0.47,   84.52,   98.67,    9.04,    6.21,    3.85,    4.31,-999,              1.42
50.12151,22.00971,2015,03,04,    7.48,   -0.33,    0.20,   82.36,   99.20,    9.00,    5.91,    4.11,    5.15,-999,              0.65
50.12151,22.00971,2015,03,05,    7.52,    0.42,    0.44,   82.68,   99.85,    5.19,    3.33,    3.10,    1.89,-999,              2.21
50.12151,22.00971,2015,03,06,    6.68,   -0.04,   -0.10,   78.50,  100.43,    3.45,    2.63,    3.98,    2.99,-999,              1.60
50.12151,22.00971,2015,03,07,   11.31,    1.45,    1.94,   73.37,  100.57,    3.67,    2.42,    4.98,    2.85,              3.39,              2.81
50.12151,22.00971,2015,03,08,   13.25,    3.88,    4.13,   64.99,  100.27,    5.78,    3.51,    4.74,    2.55,              3.37,              3.35
50.12151,22.00971,2015,03,09,   14.23,    4.16,    4.91,   62.40,   99.98,    5.28,    3.34,    4.46,    2.47,              3.51,              3.50
50.12151,22.00971,2015,03,10,   15.13,    3.97,    5.49,   59.68,   99.70,    2.09,    1.44,    4.24,    2.26,              3.61,              3.46
50.12151,22.00971,2015,03,11,   12.11,    5.01,    5.49,   70.54,   99.11,    5.18,    3.78,    7.18,    5.27,-999,              3.02
50.12151,22.00971,2015,03,12,    3.86,    3.40,    3.42,   92.72,   99.19,    9.58,    7.49,    2.58,    2.28,-999,              1.11
50.12151,22.00971,2015,03,13,    2.34,    2.13,    2.00,   92.66,   99.24,    6.15,    4.82,    4.08,    3.35,-999,              0.81
50.12151,22.00971,2015,03,14,    4.66,    2.01,    1.98,   92.23,   99.57,    5.48,    3.81,    1.41,    2.04,-999,              0.97
50.12151,22.00971,2015,03,15,   11.10,    4.27,    3.99,   86.49,  100.64,    6.75,    4.87,    5.18,    3.17,-999,              2.42
